1,1,0
4522699571837982678225429737379313614664003902697839441282613117783028793467,36047019733851691197566254847089065208447298400858599883148063049654421428035,54573711927943799495535115704009815459757400174352680794141965800545885724116
38563699782441710809969554113539697874664329419573939950608781564485008977083,37132753253256758308205650453752482972361315698033655307319057001231556295838,48453632495737434149132938543376010063274413664825041739783508298580414901445
47065248582297890089658155411620744002457474055933977684239107465227863522767,14314051456782522705612020840577774685531830605050984662919754683399959106487,14106721833258785537877232448017321819235902265290492328745305114525217898221
43643132758178895958080711707918978952525229572753975372713820859703690001272,55508121696880298907070829770566410099198853121867570973068310265809287545885,47332822549861090925675586852172609849298211469562007124864042138136156272142
57674940475258923346944110236363593824995864748142591221727915699985345141581,26054245098981513467196694713907618037133045663417136183213640033092300752091,56442208091289559829365472155300865629339190580868215500007199135767820556055
16311834730411835868742868078489014841028059830652088276168578160619602427035,25442527505025395032362541012426817328358729240391657813684166998091641786216,13012059595447277235511948975251632509092888866895698893187230140023679162794
45193592846066358585256741949215089293404014111716624384721764870879835863599,5758822470892309419362351171166429807623561312229529106591264967492681948044,28773800037671954959456221149701471509584870446945973625543480596261465142151
19682359360454840430760455572700184172452819919035575040097384509692534479450,21829972287311602080324370143993361329767798072126602443995999904873093100459,7538166681153676683076692897901230162772836948631445721090783388488429764140
54606159946319579172190709140274464825006337607015540178213746036584265211535,19598363017606237180610016211407057861649496694382500367011635056103710749252,27972636722944748323505186911312202474828486568588196726510905355292457336662
33028662613159987132242489096283042362522203138564541911898428856106805532685,34799091281711295531153771344171691657227775479252330718517029824261750007188,45739256041993062105036364983294156974720319472637785185777609344905194181150
15326832949487317831703482562407297415232114811312608894613882036891274602793,40430292603174584481337071388190796409349267653005946008257688352885357384067,53021368254996199642921828492302389859378543546200806620780049973984765235725
15382082334967475664011184352792005941092360571067332415031151232382894884689,8845193226882956703074235970603125534981716399036970407273405532591303612901,4510100870871205340308726588430506914009743220132610319762363403301373661715
34558466664635409060072598051867020373414228227264261593938496035597606895329,34968501572519685136193299683370282733002585516696631671221108059504781566343,53233535170323024860244355955504270819222665482020653366894471796261946123096
16556253459270145735787016566603227937693044151300189506882130461566894603060,33273497836136584787916891952145982169192083561034009100154740606223505780815,50814646619573199852021027839046619233076636378416800370116987216285135592630
21451313274741900683380228189407277098278851014926442831576241352735956986074,16262388412292052514475828870199263362127819719384007866681836087650452315351,47432024303129774074123563149123595825516047244623797480965888380302977396366
4532290621036618045055275879300439554693193489190818196502694917959140545397,36298194134710548140942231366416658019678656444919604122674071622681185837747,21848374995834889596091946428377913645868314230096101478084464875424263662514
28210604177346009039920380129140576838057684825299430712554830434016424518556,39045145785948102434907945214539500216533345984762401126382369605414168074048,49527351631413979568125696250721253328165086594543734372654735302276773984927
56865959669439137631104521532686871015899815731933698612259030483852573181530,21065498508558339187796897967313879814686405217028587274579243277330360544729,47932775106208134338919114068443814827008559885335490107496466146339228272636
28349701897539476426097460182070257359384887868805759500174763814457962728922,45772992849252671508748138253203031092837694578427070122829788130677270220124,49979738821602213823140300064426426166697878503047373460476903195744710353212
6506143565952377752035838830419420765301503963843990454950896030732160936181,20397958987143377900183229017938303150141935035965897582481700405654972040622,9219112548160237377365268767247774169946704467076234362513575477456387687578
29920970273256484613159289386958779288358731031135690126528583123948333115652,41366562953942184382735171503387058132652526939970636350961085694956315018363,5719314914731733488095793712592321428450444358831714980123210564731608611184
18088837885670300948381344965519861361983049609422962389484646190340539855347,23952640565453189347410862074294434050361961805686793766276761054528595770431,55629111920460648460508697720783388206844572105701008897826737823727044997050
17021421243606968379353200340690305828466645547615206049785591336349283793274,47119060267818382784177528540505928128284987455106217385868664122321112241182,13119822060707065809372360619259097015138270202261651059433803799045659705698
23816371047589472091952650554158118856512288474281501852386611278886552296282,35008516307723561206528058871250435413827487645526703993482475044153558137132,42729574636771746118312670405832117268552832428712692437525851018362406737094
38822547120844213623935824704820804196731410464419201852519447787863875469180,28587476114756605725004236448669077712500441078883804799962067479800207147006,17522528433476353896457957955223928166282375785728089257317002775276228880566
22391989858367748037073596613212225270812239047324165978459785766246907585017,21235021516424271388987544226699628210877004965203291930073329860652589495138,46137997760412471125927039858471932497731585686827413823778218891670483113925
41868085417411523966200738993947479120056421587060216664714394741441574518885,29340136276589436830539028618408613284325482142096263657883150256585383361246,2880925293511236567038307542355247474294979530609899987491136863802842965407
56823078171648598085772663355782637872944992260609085364041939753739588737728,31692561975737213039201399039902336539078440809090397231934767569424405132710,40876948891942767984726390097468522319926424365298845421691691561821767326326
31492562044858373708809083357819354683003101671739769633047743112178145870324,28983250478489849203285642373905258893385945552543725656879633035224219251076,32627189772858503814715354363567360626948413824662634042298579833935399773644
14712480249497835432796879693364966194182853581804833170020361984586869279354,44739274900904778398135339886082820991960596546463232181185660300361542181866,13423497661523204545559998287847833659326955483790563612992406127326590053339
18796125482424710229948190219278903404316361810772905475400954356767610820168,38796252925458665716286495973679326822496607755358601163325986711207806965537,55122009573390027362857570509490222565520614534108190174173965757135133100720
35516412170614290463435257022458906167024693549528898023170902825631019366400,48724522931891997958874427650097114641308251536944622836090949150105993044876,14840614496152548006144475283893468652503075593220049700634354738176822071814
56117770516385459379485938198537379218828184048282014735889350540119750696008,998946459924365002394383515077330326882548411677317096896882992164257037770,25700567994578242160785472752021861278644959835562980187598845868184549608451
18295532881643463107552630509431891028875985714316278638086517782974825276946,16155816342885214361331718111390660341541868993636544348106537671310763495829,35366052949178576793118759756257805683529227979805184205687974873838377343632
24704897765608039777656453991520629276896395992778197145202505198239843652363,23530992097861105271753619980216816369097204941262749739702897363312064494247,27969928228277337814929076736679706401124360044216204063665556612470431775900
53737131222777836496037994298097819002549332665700474262719988278702536851567,23647870620783686408028797783111329636534529980739462841075942646132378891929,52547171351868458368200142818012573798495281693496543424334012892336279361540
3320068652433829270813717538529468541888430407538118344768805991013295393250,6640124836097251824676561302009364043846957055823365168339879649203485037442,44480520510243994061965298907947721274496966314468454942531242446433877896018
10460011813001431709772575266452308559413527783507798065369724003939497726606,32696744281403857596785558410694269342584265131385525790949823275229550032965,4926791453127259349082093726148193538649404044664579322273144554586338024359
25637114020270251051407466385350779920803723967895194763865034923699900235975,40239289401892536059812738654662415997308984823706979335350563300594378163926,27006034664899244748917982436454807030867344169039017409948993345982275097765
41643629414105308932964486580441138295985989303394810948428076486913121454511,8630962095176525940618012090359653711427523892611275518010481200402556261046,27782793926159048403675227982253783025891236378062754266398728841516794954199
13022366254216481544752545000997017860811823191678926284418170419965609905279,22792706085121293492222054268005372772538216464949323956582706644859697335672,25967126642740987592137923581870812356642728909920603867618317978860596693478
